Level;Cost;ProdTime;MaxStorage;Defense;Consumption
1;120;1:00:00;1200;10;1
2;135;1:15:00;2400;12;2
3;271;1:30:00;3600;15;3
4;406;1:45:00;4800;17;4
5;542;2:00:00;6000;20;5
6;677;2:15:00;7200;22;6
7;813;2:30:00;8400;25;7
8;949;2:45:00;9600;27;8
9;1084;3:00:00;10800;30;9
10;1220;3:15:00;12000;32;10
11;1355;3:30:00;13200;35;11
12;1491;3:45:00;14400;37;12
13;1627;4:00:00;15600;40;13
14;1762;4:15:00;16800;42;14
15;1898;4:30:00;18000;45;15
16;2033;4:45:00;19200;47;16
17;2169;5:00:00;20400;50;17
18;2305;5:15:00;21600;52;18
19;2440;5:30:00;22800;55;19
20;2576;5:45:00;24000;57;20
